Cloud Over Bright Sea Ice X,Cloud Over Bright Sea Ice Y,Cloud Over Dark Sea Ice X,Cloud Over Dark Sea Ice Y,Clear Sky Over Bright Ice X,Clear Sky Over Bright Ice Y,Cloud Over Ocean X,Cloud Over Ocean Y,Clear Sky Over Dark Ice X,Clear Sky Over Dark Ice Y,Clear Sky Over Ocean X,Clear Sky Over Ocean Y
0.345596135,0.51345993,0.345596135,0.453633552,0.50334368,0.352090778,0.692640735,0.339404782,0.597992208,0.319019342,1.733774538,0.107468489
1.46560371,0.513527384,1.374110134,0.453613742,1.544477483,0.352119285,1.790563655,0.339294607,1.639126011,0.318999288,2.774908341,0.107448435
2.506737513,0.51350733,2.506737513,0.453680953,2.585611286,0.352099231,2.853782114,0.339719264,2.680259813,0.318979234,3.816042143,0.107428381
3.626745088,0.513396729,3.626745088,0.453570352,3.626745088,0.352079177,3.973789689,0.340231855,3.721393616,0.318716379,4.857175946,0.107408327
5.787886467,0.513355102,4.724668008,0.453549204,4.667878891,0.352301925,5.267319565,0.340474021,4.762527419,0.318939127,5.898309749,0.107388273
6.907894042,0.513422556,5.787886467,0.453528725,5.709012694,0.35349588,6.387327141,0.340986612,5.803661221,0.318919073,6.939443551,0.107368219
7.949027845,0.513402502,6.907894042,0.453596179,6.750146496,0.352019015,7.4505456,0.341535908,6.844795024,0.318899019,7.980577354,0.107348165
9.147909193,0.51337941,7.949027845,0.453576125,7.791280299,0.351998961,8.548468519,0.342102341,7.885928827,0.318878965,9.021711157,0.107328111
10.189043,0.513359356,9.147909193,0.453553033,8.832414102,0.351978907,9.646391438,0.343202937,8.927062629,0.318616109,10.06284496,0.107308058
11.30905057,0.513649379,10.189043,0.453532979,9.873547904,0.351958853,10.80110347,0.343928526,9.968196432,0.318838857,11.10397876,0.107288004
12.37226903,0.513709024,11.30905057,0.453422378,10.91468171,0.351938799,11.82961747,0.344798988,11.00933023,0.318818803,12.14511256,0.10726795
13.47019195,0.513207128,12.37226903,0.453401899,11.95581551,0.351918745,13.11052755,0.345913866,12.05046404,0.318798749,13.18624637,0.107247896
14.59019953,0.513274582,13.47019195,0.453380751,12.99694931,0.351898691,14.24315492,0.347245265,13.09159784,0.318778695,14.22738017,0.107227842
15.62344595,0.515749672,14.59019953,0.453448205,14.03808311,0.351878637,15.30637338,0.348435558,14.13273164,0.318758641,15.26851397,0.107207788
16.67472067,0.514396874,15.63133333,0.453428151,15.07921692,0.351858583,16.46108542,0.349374811,15.17386545,0.318738587,16.30964778,0.107187734
17.87134848,0.51330041,16.7513409,0.453317551,16.12035072,0.351838529,17.01951173,0.349684554,16.21499925,0.318718533,17.35078158,0.10716768
18.99135605,0.513100782,17.87134848,0.453474032,17.16148452,0.351818475,19.18696301,0.354129783,17.25613305,0.318698479,18.39191538,0.107147626
20.01987005,0.513080971,18.99135605,0.453274405,18.20261833,0.351798421,20.28488593,0.354874271,18.29726685,0.318678425,19.43304918,0.107127572
21.15249743,0.513059155,20.01987005,0.453254594,19.24375213,0.351778368,21.40489351,0.356633244,19.33840066,0.318658371,20.47418299,0.107107518
22.27250501,0.513126609,21.15249743,0.453232777,20.28488593,0.351758314,22.53752089,0.358124893,20.37953446,0.318638317,21.51531679,0.107087464
